SampleID	Group	MouseID	Time_days	Read1	Read2
G11_d1	pre-diet	G11	1	reads/MOUSE.G11.Day1_1.fastq.gz	reads/MOUSE.G11.Day1_2.fastq.gz
G11_d14	pre-diet	G11	14	reads/MOUSE.G11.Day14_1.fastq.gz	reads/MOUSE.G11.Day14_2.fastq.gz
G11_d21	pre-diet	G11	21	reads/MOUSE.G11.Day21_1.fastq.gz	reads/MOUSE.G11.Day21_2.fastq.gz
G11_d7	pre-diet	G11	7	reads/MOUSE.G11.Day7_1.fastq.gz	reads/MOUSE.G11.Day7_2.fastq.gz
G12_d1	pre-diet	G12	1	reads/MOUSE.G12.Day1_1.fastq.gz	reads/MOUSE.G12.Day1_2.fastq.gz
G12_d14	pre-diet	G12	14	reads/MOUSE.G12.Day14_1.fastq.gz	reads/MOUSE.G12.Day14_2.fastq.gz
G12_d21	pre-diet	G12	21	reads/MOUSE.G12.Day21_1.fastq.gz	reads/MOUSE.G12.Day21_2.fastq.gz
G12_d7	pre-diet	G12	7	reads/MOUSE.G12.Day7_1.fastq.gz	reads/MOUSE.G12.Day7_2.fastq.gz
G21_d1	pre-diet	G21	1	reads/MOUSE.G21.Day1_1.fastq.gz	reads/MOUSE.G21.Day1_2.fastq.gz
G21_d14	pre-diet	G21	14	reads/MOUSE.G21.Day14_1.fastq.gz	reads/MOUSE.G21.Day14_2.fastq.gz
G21_d21	pre-diet	G21	21	reads/MOUSE.G21.Day21_1.fastq.gz	reads/MOUSE.G21.Day21_2.fastq.gz
G21_d7	pre-diet	G21	7	reads/MOUSE.G21.Day7_1.fastq.gz	reads/MOUSE.G21.Day7_2.fastq.gz
H11_d1	post-diet	H11	1	reads/MOUSE.H11.Day1_1.fastq.gz	reads/MOUSE.H11.Day1_2.fastq.gz
H11_d14	post-diet	H11	14	reads/MOUSE.H11.Day14_1.fastq.gz	reads/MOUSE.H11.Day14_2.fastq.gz
H11_d21	post-diet	H11	21	reads/MOUSE.H11.Day21_1.fastq.gz	reads/MOUSE.H11.Day21_2.fastq.gz
H11_d7	post-diet	H11	7	reads/MOUSE.H11.Day7_1.fastq.gz	reads/MOUSE.H11.Day7_2.fastq.gz
H12_d1	post-diet	H12	1	reads/MOUSE.H12.Day1_1.fastq.gz	reads/MOUSE.H12.Day1_2.fastq.gz
H12_d14	post-diet	H12	14	reads/MOUSE.H12.Day14_1.fastq.gz	reads/MOUSE.H12.Day14_2.fastq.gz
H12_d21	post-diet	H12	21	reads/MOUSE.H12.Day21_1.fastq.gz	reads/MOUSE.H12.Day21_2.fastq.gz
H12_d7	post-diet	H12	7	reads/MOUSE.H12.Day7_1.fastq.gz	reads/MOUSE.H12.Day7_2.fastq.gz
H21_d1	post-diet	H21	1	reads/MOUSE.H21.Day1_1.fastq.gz	reads/MOUSE.H21.Day1_2.fastq.gz
H21_d14	post-diet	H21	14	reads/MOUSE.H21.Day14_1.fastq.gz	reads/MOUSE.H21.Day14_2.fastq.gz
H21_d21	post-diet	H21	21	reads/MOUSE.H21.Day21_1.fastq.gz	reads/MOUSE.H21.Day21_2.fastq.gz
H21_d7	post-diet	H21	7	reads/MOUSE.H21.Day7_1.fastq.gz	reads/MOUSE.H21.Day7_2.fastq.gz
